systemNumber,objectType,title,maker,year,place,materials,techniques,styles
O126300,Set model,"Set model by Oliver Messel for Private Room in an Inn, Act III of Richard Strauss's opera <i>Der Rosenkavalier</i>, Glyndebourne 1959.","Messel, Oliver Hilary Sambourne",1959.0,London,"['paper', 'watercolour', 'pencil', 'charcoal', 'ink', 'kaolinite', 'wood', 'card', 'glue', 'gouache', 'masking tape', 'perspex', 'wire', 'plasticine']","['drawing (image-making)', 'painting (image making)', 'glueing']",[]
O126294,Set model,"Set model by Oliver Messel for Mrs Malaprop's lodgings, Bath, in Richard Brinsley Sheridan's play <i>The Rivals</i>, Criterion Theatre, 1945","Messel, Oliver Hilary Sambourne",1936.0,London,"['paper', 'watercolour', 'charcoal', 'pencil', 'kaolinite (pigment)', 'paint', 'gouache', 'wood', 'synthetic fabric', 'glue', 'masking tape', 'wire', 'plaster of Paris', 'acetate film', 'card', 'perspex']","['drawing (image-making)', 'painting (image making)', 'glueing']",[]
O126226,Set model,"Set model by Oliver Messel for Selim's garden, Act III, in Mozart's opera <i>Die Entführung aus dem Serail</i>, Glyndebourne 1956.","Messel, Oliver Hilary Sambourne",1956.0,London,"['pencil', 'paper', 'watercolour', 'gouache', 'kaolinite', 'wood', 'card', 'acetate', 'wire', 'glue', 'gauze', 'plasticine', 'masking tape', 'perspex']","['drawing (image-making)', 'painting (image making)', 'glueing']",[]
O126224,Set model,"Set model by Oliver Messel for Pamina's boudoir, Act I, Scene II, in Mozart's opera <i>The Magic Flute</i>, Royal Opera House, 1947","Messel, Oliver Hilary Sambourne",1947.0,London,"['paper', 'watercolour', 'charcoal', 'pencil', 'kaolinite', 'gouache', 'card', 'wood', 'gauze', 'glue', 'perspex', 'masking tape', 'velvet']","['painting (image making)', 'drawing (image making)', 'glueing']",[]
O111990,Sculpture,Bust of the actor Charles Albert Fechter (1824-1979).  Plaster painted to imitate bronze.,Unknown,,,"['plaster', 'paint']",['painting (coating)'],[]
O184345,Spectacles,Spectacles worn by Elton John on 1981/2 British and World tours; blue frames with fabric shades over lenses.,"Kono, Takashi",1974.0,France,"['plastic', 'metal', 'fabric']",[],[]
O184340,Spectacles,"Sunglasses worn by Elton John on 1981/2 British and World tours, made Mikli, France, ca.1970s. Red asymetrical frames with diamante studs.",,1978.0,France,"['plastic', 'metal', 'diamanté']",[],[]
O184337,Sunglasses,"Sunglasses worn by Elton John on 1981/2 British and World tours, made Mikli, France, ca.1980. Black and white asymetrical frames with coloured diamante studs.",,1982.0,Paris,"['plastic', 'metal', 'diamanté']",[],[]
O1245486,Pin badge,"Pin badge for the radio comedy show <i>The Navy Lark</i>, featuring the H.M.S. Troutbridge emblem",,1959.0,Great Britain,"['brass (alloy)', 'enamel']",[],[]
O1278376,Award,"Evening Standard Drama Award statuette, presented to Paul Scofield in 1962 for his performance in <i>King Lear</i>.","Dobson, Frank",1962.0,London,"['bronze', 'marble']","['casting', 'carving']",[]
O1491959,Poster,"Poster advertising <i>Alice In Weegieland</i>, Tron Theatre, Glasgow, 2017",,2017.0,Great Britain,"['ink', 'paper']",['printing'],[]
O1491366,Poster,"Print of the poster for <i>Alice's Adventures Under Ground,</i> National Theatre, 1994",,2019.0,Great Britain,"['paper', 'ink']",['printing'],[]
O1489875,Poster,"Poster for English National Ballet in Derek Deane's new ballet <i>Alice in Wonderland</i> and Ben Stevenson's <i>The Nutcracker</i>, Palace Theatre, Manchester, 1995 ",,1995.0,London,"['printing ink', 'paper']",['printing'],[]
O140408,Bust,"Portrait bust of Geoffrey Whitworth (1883-1951), the founder of the British Drama League.  Bronze by James Butler.","Butler, James",1954.0,,['Bronze'],['bronze casting'],[]
O136609,Plaque,"Commemorative plaque originally erected outside the London home of the actor Edmund Kean (1787-1833) at 12 Clarges Street, Westminster. Glazed earthenware",Unknown,,,"['glaze', 'earthenware']",[],[]
O132315,Sculpture,"Sculpture of Ivor Novello as Lord George Hell in <i>The Happy Hypocrite</i> by Clemence Dane and Richard Addinsell, from the story by Max Beerbohm, His Majesty's Theatre, April 8th 1936. Bronze casting.","Dane, Clemence",1936.0,,['bronze'],['bronze casting'],[]
O126858,Bust,"Bust made by Oliver Messel, 1936?","Messel, Oliver Hilary Sambourne",1936.0,London,"['paper', 'paint', 'glue']","['painting (image making)', 'modelling (forming)']",[]
O126783,Masks (costume),Decomposing or skeleton mask by Oliver Messel possibly for one of C.B. Cochran's revues 1920s.,"Messel, Oliver Hilary Sambourne",1924.0,London,"['paper', 'paint', 'glue']","['painting (image making)', 'modelling (forming)']",[]
O126772,Masks (costume),"Gorilla mask by Oliver Messel, possibly made for a C.B. Cochran revue 1920s.","Messel, Oliver Hilary Sambourne",1924.0,London,"['fur fabric', 'synthetic hair', 'shell', 'cloth']","['sewing', 'modelling (forming)']",[]
O126761,Masks (costume),Bird mask by Oliver Messel possibly made for a C.B. Cochran Revue 1920s,"Messel, Oliver Hilary Sambourne",1924.0,London,"['paper', 'paint', 'glue']","['painting (image making)', 'modelling (forming)']",[]
O126499,Set model,"Set model by Oliver Messel for Bob Acres' dressing room in Richard Brinsley Sheridan's play <i>The Rivals</i>, Criterion Theatre 1945.","Messel, Oliver Hilary Sambourne",1945.0,London,"['paper', 'watercolour', 'charcoal', 'pencil', 'kaolinite (pigment)', 'paint', 'gouache', 'wood', 'synthetic fabric', 'glue', 'masking tape', 'plaster of Paris', 'acetate film', 'card', 'perspex', 'foil', 'fur']","['drawing (image-making)', 'painting (image making)', 'glueing']",[]
O111839,Bust,"Marble bust of William Shakespeare (1564-1616), after the bust by Louis François Roubilliac (1695-1762).",Unknown,,,['Marble'],['Carved'],[]
O108495,Sculpture,Bronze bust of the dramatic critic and author William Archer (1856-1924).  Given by the British Theatre Association.,"Wood, Frances Derwent",1800.0,Great Britain,"['Bronze', 'Marble']",[],[]
O108482,Sculpture,"Bronze portrait bust of the British character actor, Ernest Thesiger (1879-1961) by Eric Schilsky","Schilsky, Eric",1950.0,,[],[],[]
O1308867,Dance Costume,"Costume worn by Dominic Moon in the title role of a dance production of <i>Edward Scissorhands.</i> The production was directed by Matthew Bourne and designed by Lez Brotherston, 2005. ","Brotherston, Lez",2005.0,Great Britain,"['lycra', 'plastic', 'metal']",['appliqué'],[]
O1520141,Card Game,"""<i>Play In A Box""</i> activity game, made by the National Theatre, 2017","Skipp, Hugh",2017.0,Great Britain,"['ink', 'card', 'paper']",['printing'],[]
O1375339,Theatre costume,"Costume designed and worn by Ram Gopal as Garuda, 1940s","Gopal, Ram",1954.0,,"['rubber', 'metal', 'silk (textile)', 'sequins']",[],[]
O1346371,Set design,"Design for set in Act II of <i>The Mikado,</i> as originally staged at the Princes Theatre, 1919",Bridges-Adams,1919.0,Great Britain,"['watercolour', 'paper', 'pencil']","['painting', 'drawing']",[]
O1407827,Photograph,"Photograph of <i>Le Train Bleu</i>, performed by Serge Diaghilev's Ballets Russes, June 1924",Unknown,1924.0,Europe,[],['photography'],[]
O147873,Set model,"Set model for the Moscow Art Theatre production of <i>Hamlet</i>, 23 December 1911, recreated by Teddy Craig under the supervision of Edward Gordon Craig (1872-1966). Painted plaster, 1921","Craig, Edward Gordon",1921.0,Europe,"['plaster', 'paint']","['model-making', 'painting']",[]
O1481097,Badge,"Old Vic and Sadler's Wells Association badge, mid 20th century, belonging to Mrs Gabrielle Enthoven ",,1950.0,Birmingham,"['metal', 'enamel']",['enamelling'],[]
O1531433,Map,"Folding map produced by Giffords Circus to accompany the tour of <i>The Hooley</i>, their circus intended to take place 9 April to 27 September 2020, but postponed to 2021 due to Covid-19","Gifford, Nell",2020.0,Stroud,"['printing ink', 'paper']",['screen print'],[]
O1525671,Cane,"Cane used by Willy Wonka in <i>Charlie and the Chocolate Factory</i>, Theatre Royal Drury Lane, 25th June 2013 to 7th January 2017. Designed by Mark Thompson, made by Marcus Hall Props",,2013.0,London,[],[],[]
O1161668,Poster,"Poster advertising Peter Pan, Duke of York's Theatre, London, 1904","Hassall, John (RI, RWA)",1904.0,London,"['paper', 'printing ink']",['lithography'],[]
O1160457,Cigarette case,"Rectangular silver cigarette case, decorated with raised Chinese dragon motifs, engraved 'PMT From Chung Ling Soo', Given by C N Smith Esq.",,1909.0,China,['silver'],[],[]
O117073,Figurine,"Miniature Toby jug in the form of Pooh-Bah from Gilbert and Sullivan's <i>The Mikado</i>. Rockingham Pottery, 1985, from original moulds made  by Shorter & Sons, 1940, first issued in 1949",,1985.0,Stoke-on-Trent,"['earthenware', 'glaze', 'porcelain', 'Glaze', 'ceramic']","['moulding', 'firing (heating)', 'painting', 'glazing (coating)']",[]
O113427,Music sheet,"Music sheet cover for <i>The High Art Maiden</i>, the 'humorous song' written and composed by Herbert Harraden.  Colour lithograph by M & N. Hanhart, published by Metzler & Co., ca.1885.",,1884.0,London,"['Ink', 'Paper']",['colour lithograph'],[]
O64958,Theatre costume,"Costume for Titania in Peter Brook's production of Shakespeare's <i>A Midsummer Night's Dream</i>, designed by Sally Jacobs.  Made for understudy Patricia Doyle, Royal Shakespeare Company World Tour, 1972-73","Jacobs, Sally",1972.0,Great Britain,"['synthetic silk', 'ribbon']","['machine sewing', 'hand sewing']",[]
O184367,Rock and pop costume,Costume worn by Adam Ant at the time of the <i>Kings of the Wild Frontier</i> album,"Ant, Adam",1980.0,Great Britain,[],[],['New Wave']
O184365,Rock and pop costume,"Jacket worn by Ringo Starr of The Beatles. Pale grey worsted jacket with black velvet collar, box pleated back from waist, lined with beige rayon with blue, green and red plaid pattern.",,1961.0,London,"['worsted', 'velvet', 'rayon', 'taffeta']","['pleating', 'tailoring']",[]
O74202,Sound machine,"Wooden and canvas box for a rain machine used for theatrical sound effects at the Cripplegate Institute theatre. Perhaps originally from the Britannia Theatre, Hoxton, which closed as a theatre in 1923.",,1899.0,,"['Wood', 'Canvas']",[],[]
O74191,Sound machine,"Wooden frame of a rain machine used for theatrical sound effects at the Cripplegate Institute theatre. Perhaps originally from the Britannia Theatre, Hoxton, which closed as a theatre in 1923.",,1899.0,,"['Wood', 'Iron']",[],[]
O84004,Sign board,"Enamel sign advertising the Palladium Theatre, Argyll Street, London, and detailing the times of the three 'houses' for the Variety show, ca. 1920",Unknown,1919.0,Great Britain,"['enamel', 'metal']",['enamelled'],[]
O1374547,Set design,"Set design by Phil R. Daniels for <i>Aladdin and the Twankeys</i> at the York Theatre Royal, December 2013","Daniels, Phil R.",2013.0,York,"['water-base paint', 'ink', 'card']","['painting (image-making)', 'drawing (image-making)']",[]
O1263320,Candle-snuffer,"Bone china candle-snuffer representing the actor Berwick Kaler in his costume as Dame Betty Turpin in <i>Dick Turpin</i>, the 30th pantomime that he wrote and directed for York Theatre Royal, and in which he starred, opening 11 December 2008. Made by Bronte Porcelain in a limited edition of 300 for Mulberry Hall, York",,2008.0,Malvern,['bone china'],"['moulding', 'firing (heating)', 'painting (coating)', 'glazing (coating)']",[]
O1298892,Costume design,"Costume design by Voytek for Gordon Clyde as Harold ""Stinker"" Pinker in Alan Ayckbourn and Andrew Lloyd Webber's <i>Jeeves,</i> produced by Robert Stigwood in association with Michael White, Bristol Hippodrome and Her Majesty's Theatre, 1975",Voytek,1975.0,Great Britain,"['pencil', 'crayon', 'paper']",['drawing (image-making)'],[]
O167586,T-shirt,"Pink short-sleeved cotton T-shirt from Blackbushe Aerodrome <i>The Picnic</i> festival, 1978, printed with a colour picture of the site and the names of those appearing: Bob Dylan, Eric Clapton, Joan Armatrading, Graham Parker, The Rumour, and Lake.",,1978.0,Great Britain,"['cotton (textile)', 'printing ink']","['screen printing', 'machine sewing']",[]
O167275,T-shirt,"Pale blue 1978 Knebworth Festival short-sleeved cotton T-shirt, featuring a cartoon of Leda and the Swan, and a list of the band's appearing at the Festival: Zappa, The Tubes, Peter Gabriel, Boomtown Rats, Rockpile featuring Dave Edmunds + Nick Lowe, and Wilco Johnson's Solid Senders",,1978.0,Great Britain,"['cotton (textile)', 'printing ink']","['screen printing', 'machine sewing']",[]
O166903,Flask,"Souvenir flask in the form of a book, red leather with gilt metal corners, with the words 'With best wishes Noel Coward' on the front.  Given to cast members by Noel Coward to commemorate the opening night of his operetta <i>Bitter Sweet</i> at His Majesty's Theatre, 18 July 1929",,1929.0,,"['metal', 'leaf (metal)', 'leather']","['leather-working', 'metal-working', 'gilding', 'gold tooling']",[]
O1726931,Vase and cover,"Wedgwood Jasperware lidded vase, presented to Margaret Courtenay (1923-1996) as the Society for West End Theatre Award for Best Supporting Artist of the Year for her role in Terence Rattigan's <i>Separate Tables</i>, Apollo Theatre, 1976",,1976.0,Barlaston,"['Stoneware', 'Jasper ware']",['relief'],[]
O1718701,Costume,"Costume for Helen McCrory as Polly Gray (née Shelby) in <i>Peaky Blinders</i>, designed by Alison McCosh","McCosh, Alison",2019.0,United Kingdom,"['satin', 'feathers']",['sewing'],[]
O159010,Photograph,Photograph of Adelina Patti. Guy Little Collection.,,1850.0,Paris,['photographic paper'],['photography'],[]
O159004,Photograph,Photograph of Adelina Patti as Julietta in <i>Romeo et Julietta</i>. Guy Little Collection.,,1850.0,London,['photographic paper'],['photography'],[]
O158995,Photograph,Photograph of Adelina Patti. Guy Little Collection.,Unknown,1850.0,Great Britain,['photographic paper'],['photography'],[]
O158988,Photograph,Photograph of Adelina Patti as Esmeralda. Guy Little Collection.,Unknown,1850.0,Great Britain,['photographic paper'],['photography'],[]
O158987,Photograph,Photograph of Adelina Patti. Guy Little Collection.,Unknown,1875.0,Great Britain,['photographic paper'],['photography'],[]
O144888,Set model,"Set model by Tanya Moiseiwitsch for William Shakespeare's plays <i>Richard II</i>, <i>Henry IV Parts 1&2</i>, and <i>Henry V</i> (presented as <i>The Histories Cycle</i>), Royal Shakespeare Company, Shakespeare Memorial Theatre, Stratford-upon-Avon, 1951.",Tanya Moiseiwitsch,1951.0,,[],[],[]
O144781,Set model,"Perspex boxed set model by Douglas Heap for <i>Loot</i>, Royal Court Theatre, 1975","Heap, Douglas",1975.0,,[],[],[]
O144762,Set model,"Set model made by Victor Hembrow after the design by Claud Lovat Fraser for John Gay's opera ""The Beggar's Opera"", Lyric Theatre, Hammersmith, June 5th 1920.","Hembrow, Victor",1920.0,,[],[],[]
O136368,Stage property -puppet theatre,Donkey and cart property.  Used as a prop by the Tiller marionette company with a trick fascia board advertising bloaters which sat in the cart and changed into a sea-serpent. Wood with rabbit-skin and leather. c.1900.,,,Lincolnshire,[],[],[]
O136367,Stage property -puppet theatre,Trick property fascia board advertising Yarmouth Bloaters which transforms to a sea-serpent.  Used as a prop by the Tiller marionette company with a donkey and cart which carried the sign. Wood with metal hinges and strings. c.1900.,,,Lincolnshire,[],[],[]
O135898,Bust,Bust of the drama critic J.T. Grein (1862-1935).  Bronze by Courteney Pollock (1877-1943).  Given by Mrs. Malcolm Morley to the British Theatre Museum Association.,"Pollock, Courteney",1907.0,,['bronze'],[],[]
O182995,Boots,"Snake-skin boots, worn by Jimmy Page of Led Zeppelin",Unknown,1974.0,,"['snake-skin', 'metal', 'leather']",['shoe-making'],[]
O166797,Cut cloth,"Cut cloth representing a bluebell wood with silver birches. Painted canvas, probably c.1870 and originally made for a marionette theatre production by the Tiller family company. Gift of George Speaight.","Tiller, J.",1869.0,Long Sutton,"['canvas', 'distemper', 'wood']",[],[]
O166763,Backcloth,"Backcloth representing a formal garden scene with a sculpture and pillared grotto. Painted canvas by J. Tiller of the Tiller marionette company family, c.1870. Gift of George Speaight.","Tiller, J.",1869.0,Long Sutton,"['canvas', 'distemper', 'wood']",[],[]
O1370000,Stage property,"Headtwister illusion magic trick used in performance by Tommy Cooper, ca.1970",unknown,1969.0,Great Britain,"['wood', 'paint', 'metal', 'plastic', 'cloth', 'elastic']","['carpentry', 'painting']",[]
O1356759,Poster,"Poster for Edinburgh Festival Fringe, 2011","Purdie, Ailsa",2011.0,Edinburgh,"['ink', 'paper']",['printing'],[]
O1326286,Costume,"Glasses worn by Eric Morecambe in <i>Morecambe and Wise</i>, 1968-1983 ",Unknown,1967.0,London,"['plastic', 'glass', 'metal']",['moulding'],[]
O1314797,Puppet,"'Soo,' glove puppet featured in the television series, <i>Sooty and Sweep,</i> ca. 1972-1992",unknown,1979.0,Great Britain,"['fur fabric', 'plastic']","['stitching', 'stitching', 'applied work', 'printing']",[]
O1314796,Puppet,"'Sweep', glove puppet featured in the television series, <i>Sooty and Sweep,</i> ca. 1972-1992",Unknown,1949.0,Great Britain,"['fur fabric', 'plastic']",['stitching'],[]
O1314795,Puppet,"'Sooty', glove puppet featured in the television series, <i>Sooty and Sweep,</i> ca. 1972-1992",Unknown,1949.0,Great Britain,"['fur fabric', 'plastic']",['stitching'],[]
O1312321,Print,"Print of the actress Ellen Terry (1847-1928) as she appeared in the role of Ophelia in <i>Hamlet,</i> ca.1880-1900",G.F.Watts,1887.0,Great Britain,"['printing ink', 'paper']","['print-making', 'engraving (printing process)']",[]
O1283006,Set model,"Set model for the opera <i>Gianni Schicchi</i>, Sadler's Wells Opera Company at the Prince's Theatre, London, 5 December 1944. Designed by Morris Kestelman (1905-1998)",Morris Kestelman,,,['Mixed media'],['Made'],[]
O1247390,Costume design,"Costume design by Gladys Calthrop for The White Rabbit in <i>Alice in Wonderland</i>, 1943. Gladys Calthrop Design Collection","Calthrop, Gladys",1943.0,Great Britain,"['paper', 'pencil', 'watercolour', 'ink', 'card', 'plastic']","['drawing (image-making)', 'painting (image-making)']",[]
O1247380,Costume design,"Costume design by Gladys Calthrop for Alice in <i>Alice in Wonderland</i>, 1943. Gladys Calthrop Design Collection","Calthrop, Gladys",1943.0,Great Britain,"['paper', 'pencil', 'watercolour', 'ink', 'card', 'plastic']","['drawing (image-making)', 'painting (image-making)']",[]
O1244335,Magic trick,"Trick pot plant used by Tommy Cooper in his magic act, 1970s",unknown,1974.0,Great Britain,"['feathers', 'plastic']",[],[]
O1243804,Magic trick,"Toy rabbit, used in stage conjuring tricks, late 20th century",unknown,1974.0,Great Britain,"['fur fabric', 'plastic']",['sewing'],[]
O1241042,Set model,"Set model by Stefanos Lazaridis for English National Opera’s Italian Season, 2000 ","Lazaridis, Stefanos",1999.0,Great Britain,[],[],[]
O1227442,Stage technology,"Pair of wooden upper scene grooves, from the Theatre Royal, Leicester
",,,,['wood'],[],[]
O1227398,Zither,"Zither, belonging to Beatrice Lillie, with tuning key, British Conzert Guitar Harp Co, 20th century",,1949.0,Great Britain,['wood'],['painting techniques'],[]
O1227368,Set model,"Set model for <i>Hamlet</i>, with 18th century style proscenium, stage boxes and chandeliers",,1950.0,,[],[],[]
O1227367,Set model,"Set model by Nicholas Georgiadis for John Dryden's play <i>All for Love</i>, Prospect Theatre Company, tour and Old Vic, 1977","Georgiadis, Nicholas",1977.0,Great Britain,[],[],[]
O1227337,Set model,"Set model designed by Mark Thompson for Tom Stoppard's play, <i>Arcadia</i>, Lincoln Center, New York, 1995, directed by Trevor Nunn; a restaging of the production first seen at the National Theatre in 1993

","Thompson, Mark",1994.0,Great Britain,[],[],[]
O1227316,Plaque,"Plaque, marble, relief from the St James's Theatre commemorating actor-manager George Alexander (1858-1918)",,,,['marble'],[],[]
O1227307,Set model ,"Set model by George Ramon for an interior of a castle or hall, unidentified production, 1940s","Ramon, George",1944.0,London,[],[],[]
O1227305,Set model pieces,"Pieces for set model by Michael Annals for Michael Frayn's play ""Noises Off"", Lyric Theatre, Hammersmith, February 1982.","Annals, Michael",1982.0,Great Britain,[],[],[]
O1227296,Set model,"Set model by Kendra Ullyart for John Gay's ballad opera, <i>The Beggar's Opera</i>, Royal Shakespeare Company at the Swan Theatre, Stratford-upon-Avon, 1992 ","Ullyart, Kendra",1992.0,Great Britain,[],[],[]
O1227291,Set model,"Set model, The Globe Theatre, THM.0154. RP 77/396",,,,[],[],[]
O1227289,Set model,"Set model by Stefanos Lazaridis for Stravinsky's opera, <i>Oedipus Rex</i>, Opera North/Scottish Opera, 1987-89","Lazaridis, Stefanos",1986.0,Great Britain,[],[],[]
O1227288,Set model,"Set model by Sean Kenny for Edna O’Brien’s play, <i>A Pagan Place</i>, Royal Court Theatre, 1972","Kenny, Sean",1972.0,Great Britain,"['wood', 'paper']","['woodworking', 'cutting (dividing)']",[]
O1227263,Set model,"Set model by Stefanos Lazaridis for the British premiere of Busoni's opera, <i>Doctor Faust</i>, English National Opera at the London Coliseum, 1986","Lazaridis, Stefanos",1986.0,Great Britain,[],[],[]
O1227239,Set model,"Set model, designed by Laurence Irving for <i>The Broken Jug</i>, Lyceum Theatre, Edinburgh, 1958","Irving, Laurence",1958.0,Great Britain,[],[],[]
O1227233,Set model,"Set model by Hutchinson Scott for Marc Camoletti's play, <i>Boeing Boeing</i>, Apollo Theatre, 1962","Hutchinson-Scott, J",1961.0,Great Britain,[],[],[]
O1227230,Stage property,"Chandelier, used in Eugene O'Neill's play<i> Long Day's Journey Into Night</i>, designed by Michael  Annals, National Theatre Company, New Theatre, 1971
",,,,[],[],[]
O1227227,Set model,"Set model by Stefanos Lazaridis for Martinu’s opera, <i>Julietta</i>, Opera North, 1997","Lazaridis, Stefanos",1997.0,Great Britain,[],[],[]
O1227221,Mask,"Mask designed and made by Oliver Messel for one of C.B. Cochran’s revues, London Pavilion, 1926-31","Messel, Oliver Hilary Sambourne",1928.0,Great Britain,[],[],[]
O1220723,Set design,"Set design by Robert Colquhoun and Robert MacBryde for <i>Donald of the Burthens</i>, Sadler's Wells Ballet, Royal Opera House, Covent Garden, 12th December 1951","Colquhoun, Robert",1951.0,London,"['pastel', 'graphite', 'paper']",['drawing (image-making)'],[]
O1174496,Backcloth,Stage cloth for <i>Abelard and Eloise</i> designed by John Piper.,"Piper, John",1960.0,Great Britain,"['paint', 'cotton (textile)']","['primed', 'painted']",[]
O1174440,Backcloth,"Stage cloth designed by Jean Hugo for <i>Shakespeare Quatercentenary Exhibition</i> at Stratford-upon-Avon, organised by Richard Buckle. Painted linen cloth.","Hugo, Jean",1964.0,Great Britain,"['paint', 'cotton (textile)']","['priming', 'painting (image-making)']",[]
O1174439,Backcloth,"Stage cloth designed by Jean Hugo for <i>Shakespeare Quatercentenary Exhibition</i> at Stratford-upon-Avon, organised by Richard Buckle. Painted linen cloth.","Hugo, Jean",1964.0,Great Britain,"['paint', 'cotton (textile)']","['priming', 'painting (image-making)']",[]
O1174416,Backcloth,"Stage cloth designed by David Hockney for Stravinsky's opera <i>Le Rossignol</i>, Royal Opera House, Covent Garden, 1983, presented in a double bill with <i>L'Enfant et Les Sortilèges</i> by Maurice Ravel. Painted gauze cloth.","Hockney, David",1983.0,London,"['paint', 'cotton (textile)']","['priming', 'painting (image-making)']",[]
O1173945,Backcloth,"Backcloth for <i>Death in Venice</i>, designed by John Piper for the 26th Aldeburgh Festival, Snape Maltings, 1973, showing a view of Venice with columns, canals and bridges.","Piper, John",1973.0,,[],[],[]
O1173944,Backcloth,"Backcloth for <i>Death in Venice,</i> showing a beach, possibly not used in performance, designed by John Piper for the 26th Aldeburgh Festival, Snape Maltings, 1973.","Piper, John",1973.0,,[],[],[]
O1173943,Backcloth,"Backcloth for <i>Death in Venice</i>, designed by John Piper for the 26th Aldeburgh Festival, Snape Maltings1973, showing a beach - used in Act II, scene 14, 'The Empty Beach'","Piper, John",1973.0,,[],[],[]
O1173942,Backcloth,"Backcloth for <i>Death in Venice</i>, designed by John Piper for the 26th Aldeburgh Festival, Snape Maltings 1973, - used for Act II, scene 13, 'The Dream'","Piper, John",1973.0,,[],[],[]
O1173941,Backcloth,"Backcloth for <i>Death in Venice</i>, designed by John Piper for the 26th Aldeburgh Festival, Snape Maltings 1973, showing the interior of the hotel on the Lido - used for Act I, scene 4, ""The First Evening at the Hotel""","Piper, John",1973.0,,[],[],[]
O1173940,Backcloth,"Backcloth for <i>Death in Venice</i>, designed by John Piper for the 26th Aldeburgh Festival, Snape Maltings 1973, showing the exterior of a church - used for Act I, scene 1, ""A cemetery in Munich""","Piper, John",1973.0,,[],[],[]
O1173939,Backcloth,"Backcloth for <i>Death in Venice</i>, designed by John Piper for the 26th Aldeburgh Festival, Snape Maltings1973, showing a view of St Mark's Square.","Piper, John",1973.0,,[],[],[]
O1173904,Set model,"Set model by Richard Hudson for Too Clever By Half, 1988","Hudson, Richard",1988.0,,[],[],[]
O1173807,Bust,"Portrait bust of Charles Cochran, by Peter Lambda","Lambda, Peter",1953.0,,[],[],[]
O1173798,Bust,"Bust of a girl with a plait, thought to be Ellen Terry as Margaret in Faust","Garella, A.",1888.0,Florence (city),[],[],[]
O1173792,Bust,"Portrait bust of Lydia Sokolova, by Edward Lacey","Lacey, Edward",1936.0,,[],[],[]
O1173107,Backcloth,"Stage cloth designed by David Hockney for Stravinsky's opera <i>Le Rossignol</i>, Royal Opera House, Covent Garden, 1983, presented in a double bill with <i>L'Enfant et Les Sortilèges</i> by Maurice Ravel. Painted cotton cloth.","Hockney, David",1983.0,London,"['paint', 'cotton (textile)']","['priming', 'painting (image-making)']",[]
O1167782,Poster,"Poster advertising <i>The Appointment</i> by Dave Anderson and David MacLennanof The Wildcat Stage Company, Citizens Theatre, Glasgow, July 1989",Unknown,1989.0,Great Britain,"['paper', 'ink']",['printing'],[]
O1160492,Set model,"Set model designed by Liz Ascroft for Jim Cartwright's play <i>The Rise and Fall of Little Voice</i>, Royal Exchange Theatre, Manchester, 2002","Ascroft, Liz",2003.0,Manchester,"['paper (fiber product)', 'card', 'textile', 'plastic', 'metal', 'wood', 'glue', 'paint', 'leather']",[],[]
O1139174,Bust,"Plaster cast bust of Leslie Banks in the character of Tattle in the production Love For Love, no date","Lambda, Peter",,,[],[],[]
O1115407,Set model,"Set model by Robert Jones for Raymond Brigg's play ""Gentleman Jim"", Nottingham Playhouse, 1985.  Wood, card, ink and gouache.","Jones, Robert",1985.0,,"['wood', 'card', 'ink', 'gouache']",[],[]
O1115293,Set model,"Set model by Stefanos Lazaridis for Smetana's opera ""The Bartered Bride"", Opera North, Palace Theatre, Manchester, December 11th 1981.  ",Stefanos Lazaridis,1981.0,,"['wood', 'metal', 'fabric', 'gouache']",[],[]
O1115291,Set model,"Set model by John Hutchinson Scott for Ira Wallach's play ""Out of the Question"", St. Martin's Theatre, London, October 15th 1968.  ",,1968.0,,"['wood', 'plastic', 'cloth', 'gouache']",[],[]
O1115271,Set model,"Set model by Belinda Ackerman for the pantomime ""Pinocchio"", Derby Playhouse, 1985.  Wood, metal, glass, and gouache",,1985.0,,"['wood', 'metal', 'glass', 'gouache']",[],[]
O1115270,Set model,"Set model by Michael Annals for Michael Frayn's play ""Benefactors"", Vaudeville Theatre, April 1984.","Annals, Michael",1984.0,Great Britain,[],[],[]
O1115268,Set model,"Set model by Michael Annals for Michael Frayn's play ""Noises Off"", Lyric Theatre, Hammersmith, February 1982.","Annals, Michael",1982.0,Great Britain,[],[],[]
O1115262,Set model,"Set model by David Christopher Blair for Puccini's opera ""Gianni Schicci"", London Opera Centre at Sadler's Wells, March 26th 1969.  Wood, fabric, plaster and gouache.",,1969.0,,"['wood', 'cloth', 'plaster', 'gouache']",[],[]
O1115261,Set model,"Set model.  Recreation by John Ronanyne of Ludovico Burnacini's set design for the Hell's Mouth Scene in ""Il Pomo d'Oro"", Vienna Carnival 1667.  Cardboard, wood and gouache. 1978.",,1978.0,,"['cardboard', 'wood', 'gouache']",[],[]
O1115259,Set model,"Set model by John Bury for Henry Livings' play ""Eh?"", Royal Shakespeare Company, Aldwych Theatre, October 29th 1964.  Wood and painted metal.",,1964.0,,"['wood', 'metal', 'paint']",[],[]
O1115254,Set model,"Set model by Bob Crowley for the ""play scene"" in William Shakespeare's play ""Hamlet"", Royal Shakespeare Company, Barbican Theatre, December 12th 1992.","Crowley, Bob",1992.0,,[],[],[]
